1,1,121.18,336.09,136.19,55.69,0.8704,-1,-1,-1
1,2,733.60,268.21,72.66,36.87,0.8041,-1,-1,-1
1,3,223.87,251.49,81.68,40.59,0.6422,-1,-1,-1
2,1,100.03,339.23,141.15,57.91,0.8594,-1,-1,-1
2,2,723.09,269.98,71.34,36.81,0.8170,-1,-1,-1
2,3,222.92,251.05,80.55,41.20,0.6795,-1,-1,-1
3,1,77.65,342.23,143.76,58.88,0.8541,-1,-1,-1
3,2,709.72,271.98,73.70,37.11,0.7888,-1,-1,-1
3,3,223.11,251.51,80.73,41.19,0.7285,-1,-1,-1
4,1,51.18,345.39,147.52,60.45,0.8538,-1,-1,-1
4,2,695.11,272.98,75.47,38.14,0.7994,-1,-1,-1
4,3,222.02,252.00,81.65,41.03,0.7477,-1,-1,-1
5,1,24.31,347.93,150.52,62.87,0.8640,-1,-1,-1
5,2,680.32,275.35,76.94,38.22,0.7846,-1,-1,-1
5,3,218.59,251.81,84.33,41.11,0.7643,-1,-1,-1
6,1,1.43,352.83,149.57,63.60,0.8469,-1,-1,-1
6,2,666.38,276.79,77.45,39.83,0.8160,-1,-1,-1
6,3,215.04,251.91,88.10,41.29,0.7502,-1,-1,-1
7,1,0.00,356.29,128.45,65.34,0.8644,-1,-1,-1
7,2,650.68,279.39,79.84,39.74,0.8278,-1,-1,-1
7,3,214.50,252.23,89.24,41.13,0.7744,-1,-1,-1
8,1,0.00,361.01,104.77,66.42,0.8248,-1,-1,-1
8,2,635.96,280.93,81.57,40.58,0.8423,-1,-1,-1
8,3,213.45,252.44,90.11,40.99,0.8021,-1,-1,-1
9,1,0.00,365.88,80.97,59.49,0.8245,-1,-1,-1
9,2,621.42,282.73,82.79,41.43,0.8416,-1,-1,-1
9,3,213.05,252.57,90.02,40.94,0.7972,-1,-1,-1
10,1,0.00,369.91,54.33,56.00,0.7872,-1,-1,-1
10,2,605.45,284.90,84.31,41.74,0.8471,-1,-1,-1
10,3,211.62,252.55,90.59,40.88,0.8050,-1,-1,-1
11,1,0.00,377.00,29.24,52.83,0.4219,-1,-1,-1
11,2,590.23,287.28,85.91,41.85,0.8319,-1,-1,-1
11,3,210.57,252.73,92.65,40.82,0.8095,-1,-1,-1
12,2,576.47,288.84,85.69,42.68,0.6327,-1,-1,-1
12,3,208.88,252.52,94.42,41.03,0.7844,-1,-1,-1
13,2,559.85,290.32,87.93,43.13,0.7846,-1,-1,-1
13,3,208.86,253.04,94.60,40.60,0.7541,-1,-1,-1
