1,1,121.18,336.09,136.19,55.69,0.8704,-1,-1,-1
1,2,733.60,268.21,72.66,36.87,0.8041,-1,-1,-1
1,3,223.87,251.49,81.68,40.59,0.6422,-1,-1,-1
2,1,99.81,339.23,141.60,57.91,0.8594,-1,-1,-1
2,2,722.49,269.98,72.54,36.81,0.8170,-1,-1,-1
2,3,221.76,251.05,82.87,41.20,0.6795,-1,-1,-1
3,1,77.56,342.23,143.97,58.88,0.8541,-1,-1,-1
3,2,710.07,271.98,73.14,37.11,0.7888,-1,-1,-1
3,3,222.07,251.51,82.79,41.19,0.7285,-1,-1,-1
4,1,51.05,345.39,147.80,60.45,0.8538,-1,-1,-1
4,2,695.22,272.98,75.17,38.14,0.7994,-1,-1,-1
4,3,221.62,252.00,82.45,41.03,0.7477,-1,-1,-1
5,1,22.82,347.93,153.52,62.87,0.8640,-1,-1,-1
5,2,681.06,275.35,75.42,38.22,0.7846,-1,-1,-1
5,3,219.38,251.81,82.73,41.11,0.7643,-1,-1,-1
6,1,0.00,352.83,153.75,63.60,0.8469,-1,-1,-1
6,2,665.83,276.79,78.48,39.83,0.8160,-1,-1,-1
6,3,217.37,251.91,83.41,41.29,0.7502,-1,-1,-1
7,1,0.00,356.29,139.95,65.34,0.8644,-1,-1,-1
7,2,651.38,279.39,78.47,39.74,0.8278,-1,-1,-1
7,3,217.41,252.23,83.45,41.13,0.7744,-1,-1,-1
8,1,0.00,361.01,126.81,66.42,0.8248,-1,-1,-1
8,2,636.63,280.93,80.21,40.58,0.8423,-1,-1,-1
8,3,216.72,252.44,83.59,40.99,0.8021,-1,-1,-1
9,1,0.00,365.88,105.09,59.49,0.8245,-1,-1,-1
9,2,621.83,282.73,81.92,41.43,0.8416,-1,-1,-1
9,3,216.13,252.57,83.89,40.94,0.7972,-1,-1,-1
10,1,0.00,369.91,85.96,56.00,0.7872,-1,-1,-1
10,2,606.24,284.90,82.70,41.74,0.8471,-1,-1,-1
10,3,214.79,252.55,84.25,40.88,0.8050,-1,-1,-1
11,2,591.56,287.28,83.19,41.85,0.8319,-1,-1,-1
11,3,214.49,252.73,84.83,40.82,0.8095,-1,-1,-1
12,2,576.89,288.84,84.81,42.68,0.6327,-1,-1,-1
12,3,213.10,252.52,85.99,41.03,0.7844,-1,-1,-1
13,2,560.85,290.32,85.93,43.13,0.7846,-1,-1,-1
13,3,213.24,253.04,85.88,40.60,0.7541,-1,-1,-1
14,2,534.71,293.66,107.13,55.02,0.4738,-1,-1,-1
